"referencing_table","referencing_column","referenced_table","referenced_column"
ALandImprovementAssessmentOld,LandImprovementAssessmentId,ALandImprovementAssessment,LandImprovementAssessmentId
TDNLandImprovements,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementPerShadeAssessment,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementPerSeedlingAssessment,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementPerIndividualPlant,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementPerHectareAssessment,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementAssessmentOld,TypeId,ALandImprovementAssessment,TypeId
AImprovementType,TypeId,ALandImprovementAssessment,TypeId
ALandImprovementAssessmentOld,TDNLandDetailId,ALandImprovementAssessment,TDNLandDetailId
View_TDNCoOwners,coOwnerID,CoOwners,coOwnerID
View_TDNCoOwners,TDNID,CoOwners,TDNID
TDNPreviousARP,TDNID,CoOwners,TDNID
TDNMachine,TDNID,CoOwners,TDNID
TDNPreviousPIN,TDNID,CoOwners,TDNID
view_TDNSearchLookUpCityBased,TDNID,CoOwners,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,CoOwners,TDNID
view_TDNTaxDecProvince,TDNID,CoOwners,TDNID
view_TaxDecDetail,TDNID,CoOwners,TDNID
CertifiedTrueCopyTable,TDNID,CoOwners,TDNID
view_TDNTaxDecCity,TDNID,CoOwners,TDNID
TDN_Attachment,TDNID,CoOwners,TDNID
View_FAASBuilding,TDNId,CoOwners,TDNID
TDNDetail,TDNId,CoOwners,TDNID
TDN_Images,TDNID,CoOwners,TDNID
View_FAASImprovement,TDNId,CoOwners,TDNID
TDNBaseValueAdjustment,TDNId,CoOwners,TDNID
View_TDNLandBackTax,TDNID,CoOwners,TDNID
TDNLand,TDNID,CoOwners,TDNID
TDNBackTax,TDNID,CoOwners,TDNID
TDNBuilding,TDNID,CoOwners,TDNID
View_PrintTaxDecProvince,TDNID,CoOwners,TDNID
tempMachdb,TDNID,CoOwners,TDNID
TDNFAASSketch,TDNID,CoOwners,TDNID
ImageCache,TDNID,CoOwners,TDNID
TDNHistory,TDNID,CoOwners,TDNID
View_TDNLandDetail,TDNID,CoOwners,TDNID
View_TDNLandAppraisal,TDNID,CoOwners,TDNID
view_MachineApraisal,TDNID,CoOwners,TDNID
View_TDNDetail,TDNId,CoOwners,TDNID
View_TDNBuildingDetail,TDNID,CoOwners,TDNID
View_PrintTaxDecCity,TDNID,CoOwners,TDNID
TOStempQuarterlyRPTC,TDNID,CoOwners,TDNID
View_DemolishedProp,TDNID,CoOwners,TDNID
TDN,TDNID,CoOwners,TDNID
stagtbl,TDNID,CoOwners,TDNID
view_TDNLandImprovements,TDNID,CoOwners,TDNID
tempTDN,TDNID,CoOwners,TDNID
CoOwners,TDNID,View_TDNCoOwners,TDNID
TDNPreviousARP,TDNID,View_TDNCoOwners,TDNID
TDNMachine,TDNID,View_TDNCoOwners,TDNID
TDNPreviousPIN,TDNID,View_TDNCoOwners,TDNID
view_TDNSearchLookUpCityBased,TDNID,View_TDNCoOwners,TDNID
view_TDNSearchLookUpProvinceBased,TDNID,View_TDNCoOwners,TDNID
view_TDNTaxDecProvince,TDNID,View_TDNCoOwners,TDNID
view_TaxDecDetail,TDNID,View_TDNCoOwners,TDNID
CertifiedTrueCopyTable,TDNID,View_TDNCoOwners,TDNID
view_TDNTaxDecCity,TDNID,View_TDNCoOwners,TDNID
TDN_Attachment,TDNID,View_TDNCoOwners,TDNID
View_FAASBuilding,TDNId,View_TDNCoOwners,TDNID
TDNDetail,TDNId,View_TDNCoOwners,TDNID
TDN_Images,TDNID,View_TDNCoOwners,TDNID
View_FAASImprovement,TDNId,View_TDNCoOwners,TDNID
TDNBaseValueAdjustment,TDNId,View_TDNCoOwners,TDNID
View_TDNLandBackTax,TDNID,View_TDNCoOwners,TDNID
TDNLand,TDNID,View_TDNCoOwners,TDNID
TDNBackTax,TDNID,View_TDNCoOwners,TDNID
TDNBuilding,TDNID,View_TDNCoOwners,TDNID
View_PrintTaxDecProvince,TDNID,View_TDNCoOwners,TDNID
tempMachdb,TDNID,View_TDNCoOwners,TDNID
TDNFAASSketch,TDNID,View_TDNCoOwners,TDNID
ImageCache,TDNID,View_TDNCoOwners,TDNID
TDNHistory,TDNID,View_TDNCoOwners,TDNID
View_TDNLandDetail,TDNID,View_TDNCoOwners,TDNID
View_TDNLandAppraisal,TDNID,View_TDNCoOwners,TDNID
view_MachineApraisal,TDNID,View_TDNCoOwners,TDNID
View_TDNDetail,TDNId,View_TDNCoOwners,TDNID
View_TDNBuildingDetail,TDNID,View_TDNCoOwners,TDNID
View_PrintTaxDecCity,TDNID,View_TDNCoOwners,TDNID
TOStempQuarterlyRPTC,TDNID,View_TDNCoOwners,TDNID
View_DemolishedProp,TDNID,View_TDNCoOwners,TDNID
TDN,TDNID,View_TDNCoOwners,TDNID
stagtbl,TDNID,View_TDNCoOwners,TDNID
view_TDNLandImprovements,TDNID,View_TDNCoOwners,TDNID
